Day,Type,Range,Value
12,Attack,81-90,0.0019212295869356388
12,Attack,91-100,0.001440922190201729
12,Attack,>100,0.0196926032660903
13,Attack,0,0.6200387221684415
13,Attack,1-10,0.26137463697967084
13,Attack,11-20,0.05275895450145208
13,Attack,21-30,0.014036786060019362
13,Attack,31-40,0.011616650532429816
13,Attack,41-50,0.0062923523717328175
13,Attack,51-60,0.00484027105517909
13,Attack,61-70,0.00484027105517909
13,Attack,71-80,0.00484027105517909
13,Attack,81-90,0.001452081316553727
13,Attack,91-100,0.001936108422071636
13,Attack,>100,0.015972894482090997
14,Attack,0,0.6151603498542274
14,Attack,1-10,0.2628765792031098
14,Attack,11-20,0.048104956268221574
14,Attack,21-30,0.01749271137026239
14,Attack,31-40,0.013119533527696793
14,Attack,41-50,0.007288629737609329
14,Attack,51-60,0.004859086491739553
14,Attack,61-70,0.004373177842565598
14,Attack,71-80,0.005344995140913508
14,Attack,81-90,0.001943634596695821
14,Attack,91-100,0.001943634596695821
14,Attack,>100,0.01749271137026239
15,Attack,0,0.6164658634538153
15,Attack,1-10,0.26656626506024095
15,Attack,11-20,0.04618473895582329
15,Attack,21-30,0.014558232931726908
15,Attack,31-40,0.011546184738955823
15,Attack,41-50,0.006526104417670682
15,Attack,51-60,0.006526104417670682
15,Attack,61-70,0.006526104417670682
15,Attack,71-80,0.0035140562248995983
15,Attack,81-90,0.0025100401606425703
15,Attack,91-100,0.0015060240963855422
15,Attack,>100,0.017570281124497992
16,Attack,0,0.6271356783919598
16,Attack,1-10,0.24723618090452262
16,Attack,11-20,0.04773869346733668
16,Attack,21-30,0.021105527638190954
16,Attack,31-40,0.01306532663316583
16,Attack,41-50,0.010050251256281407
16,Attack,51-60,0.004522613065326633
16,Attack,61-70,0.004020100502512563
16,Attack,71-80,0.005025125628140704
16,Attack,81-90,0.0020100502512562816
16,Attack,91-100,0.001507537688442211
16,Attack,>100,0.016582914572864323
17,Attack,0,0.6309278350515464
17,Attack,1-10,0.2381443298969072
17,Attack,11-20,0.05412371134020619
17,Attack,21-30,0.018556701030927835
17,Attack,31-40,0.015463917525773196
17,Attack,41-50,0.00979381443298969
17,Attack,51-60,0.005154639175257732
17,Attack,61-70,0.003092783505154639
17,Attack,71-80,0.002061855670103093
17,Attack,81-90,0.0015463917525773195
17,Attack,91-100,0.0005154639175257732
17,Attack,>100,0.020618556701030927
18,Attack,0,0.6298429319371728
18,Attack,1-10,0.24973821989528797
18,Attack,11-20,0.04712041884816754
18,Attack,21-30,0.019895287958115182
18,Attack,31-40,0.011518324607329843
18,Attack,41-50,0.006806282722513089
18,Attack,51-60,0.006806282722513089
18,Attack,61-70,0.0020942408376963353
18,Attack,71-80,0.0010471204188481676
18,Attack,81-90,0.002617801047120419
18,Attack,91-100,0.0015706806282722514
18,Attack,>100,0.020942408376963352
19,Attack,0,0.6387811634349031
19,Attack,1-10,0.24321329639889197
19,Attack,11-20,0.04542936288088643
19,Attack,21-30,0.016066481994459834
19,Attack,31-40,0.009972299168975069
19,Attack,41-50,0.012742382271468145
19,Attack,51-60,0.00775623268698061
19,Attack,61-70,0.002770083102493075
19,Attack,71-80,0.00110803324099723
19,Attack,81-90,0.0016620498614958448
19,Attack,91-100,0.002770083102493075
19,Attack,>100,0.01772853185595568
20,Attack,0,0.615046677649643
20,Attack,1-10,0.26359143327841844
20,Attack,11-20,0.058209774848984076
20,Attack,21-30,0.013728720483250962
20,Attack,31-40,0.009884678747940691
20,Attack,41-50,0.0060406370126304225
20,Attack,51-60,0.004942339373970346
20,Attack,61-70,0.0032948929159802307
20,Attack,71-80,0.0005491488193300384
20,Attack,81-90,0.0032948929159802307
20,Attack,91-100,0.0005491488193300384
20,Attack,>100,0.02086765513454146
21,Attack,0,0.6219912472647703
21,Attack,1-10,0.2609409190371991
21,Attack,11-20,0.047592997811816196
21,Attack,21-30,0.019693654266958426
21,Attack,31-40,0.009846827133479213
21,Attack,41-50,0.005470459518599562
21,Attack,51-60,0.00437636761487965
21,Attack,61-70,0.004923413566739606
21,Attack,71-80,0.0032822757111597373
21,Attack,81-90,0.002735229759299781
21,Attack,91-100,0.0
21,Attack,>100,0.019146608315098467
22,Attack,0,0.6090140845070423
22,Attack,1-10,0.2608450704225352
22,Attack,11-20,0.05295774647887324
22,Attack,21-30,0.022535211267605635
22,Attack,31-40,0.016338028169014085
22,Attack,41-50,0.008450704225352112
22,Attack,51-60,0.003943661971830986
22,Attack,61-70,0.004507042253521127
22,Attack,71-80,0.0028169014084507044
22,Attack,81-90,0.0011267605633802818
22,Attack,91-100,0.0
22,Attack,>100,0.017464788732394366
23,Attack,0,0.6102771362586605
23,Attack,1-10,0.2603926096997691
23,Attack,11-20,0.05658198614318707
23,Attack,21-30,0.02020785219399538
23,Attack,31-40,0.012702078521939953
23,Attack,41-50,0.010969976905311778
23,Attack,51-60,0.005196304849884526
23,Attack,61-70,0.0017321016166281756
23,Attack,71-80,0.004618937644341801
23,Attack,81-90,0.0005773672055427252
23,Attack,91-100,0.002886836027713626
23,Attack,>100,0.013856812933025405
24,Attack,0,0.6101398601398601
24,Attack,1-10,0.2680652680652681
24,Attack,11-20,0.051864801864801864
24,Attack,21-30,0.02156177156177156
24,Attack,31-40,0.008741258741258742
24,Attack,41-50,0.008158508158508158
24,Attack,51-60,0.005244755244755245
24,Attack,61-70,0.004662004662004662
24,Attack,71-80,0.0034965034965034965
24,Attack,81-90,0.0017482517482517483
24,Attack,91-100,0.0011655011655011655
24,Attack,>100,0.015151515151515152
25,Attack,0,0.6357575757575757
25,Attack,1-10,0.25393939393939396
25,Attack,11-20,0.040606060606060604
25,Attack,21-30,0.01575757575757576
25,Attack,31-40,0.015151515151515152
25,Attack,41-50,0.009696969696969697
25,Attack,51-60,0.005454545454545455
25,Attack,61-70,0.0024242424242424242
25,Attack,71-80,0.0024242424242424242
25,Attack,81-90,0.0036363636363636364
25,Attack,91-100,0.0018181818181818182
25,Attack,>100,0.013333333333333334
26,Attack,0,0.6286919831223629
26,Attack,1-10,0.2628089210367691
26,Attack,11-20,0.03918022905364678
26,Attack,21-30,0.013261000602772756
26,Attack,31-40,0.013261000602772756
26,Attack,41-50,0.009041591320072333
26,Attack,51-60,0.0054249547920434
26,Attack,61-70,0.004219409282700422
26,Attack,71-80,0.0030138637733574444
26,Attack,81-90,0.0024110910186859553
26,Attack,91-100,0.0024110910186859553
26,Attack,>100,0.0162748643761302
27,Attack,0,0.6069330199764983
27,Attack,1-10,0.27262044653349
27,Attack,11-20,0.046415981198589897
27,Attack,21-30,0.026439482961222092
27,Attack,31-40,0.0099882491186839
27,Attack,41-50,0.005287896592244419
27,Attack,51-60,0.004112808460634548
27,Attack,61-70,0.004700352526439483
27,Attack,71-80,0.002937720329024677
27,Attack,81-90,0.0011750881316098707
27,Attack,91-100,0.0017626321974148062
27,Attack,>100,0.01762632197414806
28,Attack,0,0.6166564605021433
28,Attack,1-10,0.26393141457440294
28,Attack,11-20,0.043478260869565216
28,Attack,21-30,0.017758726270667484
28,Attack,31-40,0.009797917942437232
28,Attack,41-50,0.009185548071034905
28,Attack,51-60,0.00612369871402327
28,Attack,61-70,0.009797917942437232
28,Attack,71-80,0.004898958971218616
28,Attack,81-90,0.000612369871402327
28,Attack,91-100,0.000612369871402327
28,Attack,>100,0.017146356399265157
29,Attack,0,0.6166172106824925
29,Attack,1-10,0.2587537091988131
29,Attack,11-20,0.05341246290801187
29,Attack,21-30,0.017210682492581602
29,Attack,31-40,0.011275964391691394
29,Attack,41-50,0.00771513353115727
29,Attack,51-60,0.005341246290801187
29,Attack,61-70,0.004747774480712166
29,Attack,71-80,0.0017804154302670622
29,Attack,81-90,0.004154302670623145
29,Attack,91-100,0.002967359050445104
29,Attack,>100,0.016023738872403562
30,Attack,0,0.6086427267194157
30,Attack,1-10,0.2732805842970176
30,Attack,11-20,0.049300060864272674
30,Attack,21-30,0.014607425441265977
30,Attack,31-40,0.013390139987827145
30,Attack,41-50,0.007303712720632989
30,Attack,51-60,0.007303712720632989
30,Attack,61-70,0.002434570906877663
30,Attack,71-80,0.0030432136335970784
30,Attack,81-90,0.0030432136335970784
30,Attack,91-100,0.0018259281801582471
30,Attack,>100,0.01582471089470481
